c,t
-3.903194495964747e-12,0.6341958396752917
-4.110706839539264e-12,1.2683916793505834
-1.3308739104662052e-12,1.9025875190258752
-8.682819336449559e-14,2.536783358701167
4.614407998720629e-13,3.1709791983764584
6.945756903339359e-13,3.8051750380517504
7.849630041147969e-13,4.4393708777270415
8.107962471059318e-13,5.073566717402334
8.075979804524409e-13,5.707762557077626
7.915330593517525e-13,6.341958396752917
7.699722839630021e-13,6.976154236428209
7.462847204054727e-13,7.610350076103501
7.220143829564446e-13,8.244545915778792
6.978702317226658e-13,8.878741755454083
6.747751874164595e-13,9.512937595129376
6.530506718425166e-13,10.147133434804667
6.316336077518171e-13,10.781329274479958
6.107333910933331e-13,11.415525114155251
5.90406575709816e-13,12.049720953830542
5.706736060310122e-13,12.683916793505833
5.515394959363749e-13,13.318112633181128
5.330011985228335e-13,13.952308472856418
5.150509929137991e-13,14.58650431253171
4.976782784589353e-13,15.220700152207002
4.808706229495509e-13,15.854895991882293
4.646144218253796e-13,16.489091831557584
4.488953369039418e-13,17.123287671232877
4.3369860093537685e-13,17.757483510908166
4.190092355077395e-13,18.39167935058346
4.048122102188885e-13,19.025875190258752
3.9109256033944763e-13,19.66007102993404
3.778354743671456e-13,20.294266869609334
3.65026359116162e-13,20.92846270928463
3.5265088786590284e-13,21.562658548959917
3.40695035482488e-13,22.196854388635213
3.2914510353285867e-13,22.831050228310502
3.1798773758073467e-13,23.465246067985795
3.0720993837650724e-13,24.099441907661085
2.9679906832630346e-13,24.733637747336378
2.8674285423659203e-13,25.367833587011667
2.770293871236476e-13,26.00202942668696
2.676471198128759e-13,26.636225266362256
2.585848627589688e-13,27.270421106037542
2.49831778549233e-13,27.904616945712835
2.4137737537600754e-13,28.538812785388128
2.3321149976568083e-13,29.17300862506342
2.2532432873428432e-13,29.807204464738707
2.1770636158696308e-13,30.441400304414003
2.103484114316933e-13,31.075596144089292
2.0324159657194003e-13,31.709791983764585
1.963773317995956e-13,32.34398782343988
1.8974731971195988e-13,32.97818366311517
1.8334354207558414e-13,33.61237950279046
1.771582512590234e-13,34.24657534246575
1.7118396182363813e-13,34.880771182141046
1.6541344223853725e-13,35.51496702181633
1.598397067585035e-13,36.149162861491625
1.544560075068906e-13,36.78335870116692
1.4925582671176435e-13,37.417554540842204
1.4423286918320457e-13,38.051750380517504
1.393810549519798e-13,38.6859462201928
1.3469451212635772e-13,39.32014205986808
1.3016756997087514e-13,39.95433789954338
1.2579475215587158e-13,40.58853373921867
1.2157077023042433e-13,41.22272957889396
1.1749051729191927e-13,41.85692541856926
1.1354906185091398e-13,42.49112125824455
1.0974164188721306e-13,43.12531709791983
1.0606365908374496e-13,43.759512937595126
1.0251067328085191e-13,44.393708777270426
9.907839706820648e-14,45.02790461694571
9.576269057182531e-14,45.662100456621005
9.255955642665682e-14,46.29629629629629
8.946513488351604e-14,46.93049213597159
8.647569909948688e-14,47.56468797564688
8.358765059268561e-14,48.19888381532217
8.079751482054816e-14,48.83307965499747
7.81019369322704e-14,49.467275494672755
7.549767765520345e-14,50.10147133434805
7.298160931038118e-14,50.735667174023334
7.055071199166729e-14,51.36986301369863
6.820206983520473e-14,52.00405885337392
6.593286744286492e-14,52.63825469304921
6.374038642413415e-14,53.27245053272451
6.162200204734733e-14,53.9066463723998
5.957518000780708e-14,54.540842212075084
5.759747331326405e-14,55.17503805175038
5.5686519268644785e-14,55.80923389142567
5.3840036565907875e-14,56.44342973110097
5.205582247275915e-14,57.077625570776256
5.033175012455599e-14,57.71182141045154
4.8665765895385584e-14,58.34601725012684
4.7055886877504346e-14,58.98021308980213
4.550019842968375e-14,59.61440892947741
4.3996851823665986e-14,60.24860476915272
4.254406196557131e-14,60.882800608828006
4.1140105196362514e-14,61.5169964485033
3.978331716594462e-14,62.151192288178585
3.847209078414274e-14,62.78538812785388
3.720487424792765e-14,63.41958396752917
