c,t
0.0,1.2049720953830543
0.0,2.4099441907661086
0.0,3.614916286149163
0.0,4.819888381532217
0.0,6.024860476915272
0.0,7.229832572298326
0.0,8.43480466768138
0.0,9.639776763064434
0.0,10.844748858447488
0.0,12.049720953830544
0.0,13.254693049213596
0.0,14.459665144596652
0.0,15.664637239979704
0.0,16.86960933536276
4.3341484513803667e-13,18.074581430745816
1.092840842412852e-12,19.27955352612887
1.5619849801461327e-12,20.48452562151192
1.9300489208990086e-12,21.689497716894977
2.2272237581022168e-12,22.894469812278032
2.469664026351209e-12,24.099441907661088
2.667765522917229e-12,25.30441400304414
2.8289357145127362e-12,26.509386098427193
2.958799406040628e-12,27.71435819381025
3.061813709526321e-12,28.919330289193304
3.1416177829999703e-12,30.124302384576357
3.201248332677362e-12,31.32927447995941
3.2432808773700663e-12,32.534246575342465
3.269927031802697e-12,33.73921867072552
3.28310425355836e-12,34.944190766108576
3.2844875464855665e-12,36.14916286149163
3.2755488795365152e-12,37.35413495687469
3.2575879639694598e-12,38.55910705225774
3.231756777204914e-12,39.76407914764079
3.199079448389754e-12,40.96905124302384
3.1604686279340567e-12,42.1740233384069
3.1167391398628614e-12,43.37899543378995
3.0686194979675643e-12,44.58396752917301
3.016761716546411e-12,45.788939624556065
2.961749740792373e-12,46.99391171993911
2.904106746036175e-12,48.198883815322176
2.8443014996937206e-12,49.40385591070522
2.78275393872302e-12,50.60882800608828
2.7198400845206347e-12,51.81380010147133
2.655896393649842e-12,53.018772196854385
2.591223624624449e-12,54.22374429223745
2.5260902867866298e-12,55.4287163876205
2.4607357261214576e-12,56.63368848300355
2.3953728939261418e-12,57.83866057838661
2.3301908370705287e-12,59.043632673769665
2.2653569427558287e-12,60.24860476915271
