t(s),Flux through surface 1(W),Flux through surface 2(W)
300.0,25196.740883928087,25084.61579799858
600.0,21103.20171309361,20980.8802740677
900.0,18357.517647271856,18247.149555411812
1200.0,16387.271658775968,16293.550348676234
1500.0,14903.656608685777,14825.727128724142
1800.0,13744.504573465216,13680.025328327836
