t(s),Flux through surface 27,Flux through surface 22,Flux through surface 21,Custom 1,Custom 2
680000000.0,2.4209742748250945e-15,2.426416347318861e-15,2.424557817249996e-15,4.220489188211207e-05,9.863475312498577e-14
720000000.0,2.2596320655996156e-15,2.2646980406785295e-15,2.26297854318422e-15,4.778944186644434e-05,1.0813521424769806e-13
760000000.0,2.109038059267415e-15,2.113755955446795e-15,2.1121628570946236e-15,5.2443215404674525e-05,1.158328084435783e-13
800000000.0,1.968478263354637e-15,1.972873575570747e-15,1.9713958371399394e-15,5.6265393449349616e-05,1.2202255162826697e-13
840000000.0,1.8372849952243777e-15,1.841381011998829e-15,1.8400089115415674e-15,5.934607973133688e-05,1.2693214006563347e-13
880000000.0,1.7148345511545629e-15,1.7186526147513187e-15,1.7173775296292708e-15,6.176706796010038e-05,1.3074396926916383e-13
920000000.0,1.6005445650298798e-15,1.6041042883109535e-15,1.602918521256297e-15,6.360254814422552e-05,1.3360805359749202e-13
960000000.0,1.4938713686627107e-15,1.4971908184167698e-15,1.496087457905565e-15,6.491975611098736e-05,1.356501838700773e-13
1000000000.0,1.3943074631759087e-15,1.3974033153494563e-15,1.3963761229579335e-15,6.577957042019634e-05,1.3697738162523477e-13
1040000000.0,1.301379131459897e-15,1.3042668054093328e-15,1.3033101235601666e-15,6.623706070517423e-05,1.3768171736745304e-13
1080000000.0,1.2146442005062955e-15,1.217337974060323e-15,1.216446651047367e-15,6.634199122415058e-05,1.378430860951985e-13
1120000000.0,1.1336899461299552e-15,1.1362030572415416e-15,1.1353723845799808e-15,6.613928313782362e-05,1.3753128906524863e-13
1160000000.0,1.0581311361486733e-15,1.060475871267451e-15,1.0597015324977028e-15,6.566943876768456e-05,1.3680763690279905e-13
1200000000.0,9.876082017898724e-16,9.897959746853596e-16,9.890740015662206e-16,6.496893084301557e-05,1.3572621203168257e-13
1240000000.0,9.217855302746703e-16,9.238269519673596e-16,9.231536880011785e-16,6.407055951432039e-05,1.3433488199606255e-13
1280000000.0,8.603498702965277e-16,8.622548117163698e-16,8.616268809217444e-16,6.300377969731543e-05,1.3267612628008407e-13
1320000000.0,8.030088431011596e-16,8.047864917030996e-16,8.042007716583975e-16,6.179500111373626e-05,1.3078772056183032e-13
1360000000.0,7.494895529526793e-16,7.511484638732752e-16,7.506020626811452e-16,6.046786321211492e-05,1.2870330995881613e-13
1400000000.0,6.995372894094029e-16,7.010854320325659e-16,7.005756678315564e-16,5.904348698235677e-05,1.2645289440598577e-13
1440000000.0,6.529143160502353e-16,6.543591164465237e-16,6.538834997239565e-16,5.7540705521398825e-05,1.2406324345542392e-13
1480000000.0,6.093987398499223e-16,6.107471196548027e-16,6.103033371404652e-16,5.597627506254363e-05,1.2155825363524497e-13
1520000000.0,5.687834554613653e-16,5.700418676333139e-16,5.696277687462012e-16,5.436506804735987e-05,1.1895925850507671e-13
1560000000.0,5.308751602046844e-16,5.320496218690491e-16,5.316632054326155e-16,5.272024969551833e-05,1.1628529934120342e-13
1600000000.0,4.954934344361038e-16,4.965895570037369e-16,4.962289603418445e-16,5.105343941382706e-05,1.1355336273975823e-13
1640000000.0,4.624698826996816e-16,4.63492900198282e-16,4.63156388675826e-16,4.937485828034913e-05,1.1077859018185709e-13
1680000000.0,4.31647332762404e-16,4.3260212763288123e-16,4.3228808520470725e-16,4.769346374217639e-05,1.0797446365053322e-13
1720000000.0,4.0287908786143045e-16,4.0377021486712127e-16,4.0347713558528793e-16,4.601707257558877e-05,1.0515297064910099e-13
1760000000.0,3.760282281834571e-16,3.768599369417143e-16,3.7658641701924566e-16,4.435247307439149e-05,1.0232475138975209e-13
1800000000.0,3.509669596862431e-16,3.517432152444708e-16,3.514879458681743e-16,4.270552735567397e-05,9.949923046065442e-14
1840000000.0,3.2757600565334384e-16,3.2830050775645635e-16,3.2806226850243034e-16,4.1081264601590064e-05,9.668473491107999e-14
1880000000.0,3.057440391382682e-16,3.0642024019474014e-16,3.0619789285519435e-16,3.948396599057841e-05,9.3888600396139e-14
1920000000.0,2.853671533065814e-16,2.8599827484501415e-16,2.857907577602906e-16,3.7917242011305374e-05,9.111726677987182e-14
1960000000.0,2.663483665501756e-16,2.6693741505835296e-16,2.667437377588838e-16,3.638410279714374e-05,8.837636439595657e-14
2000000000.0,2.4859716121598506e-16,2.491469423690843e-16,2.489661808995373e-16,3.4887022067840875e-05,8.567079200016038e-14
